H,V,C,Munsell,R,G,B
2.5GY,0.2,2,2.5GY 0.2/2,3.376365952,10.77391603,0
5GY,0.2,2,5GY 0.2/2,0,11.6671335,0
7.5GY,0.2,2,7.5GY 0.2/2,0,12.33390361,0
7.5GY,0.2,4,7.5GY 0.2/4,0,14.45519409,0
10GY,0.2,2,10GY 0.2/2,0,12.69386831,0.10835622
10GY,0.2,4,10GY 0.2/4,0,15.60729846,0
2.5G,0.2,2,2.5G 0.2/2,0,12.9486411,2.068221821
2.5G,0.2,4,2.5G 0.2/4,0,16.01426934,1.249869693
5G,0.2,2,5G 0.2/2,0,13.14893425,3.920161117
5G,0.2,4,5G 0.2/4,0,16.23873819,3.477204033
7.5G,0.2,2,7.5G 0.2/2,0,13.3201827,5.886975598
7.5G,0.2,4,7.5G 0.2/4,0,16.46424271,6.289167706
10G,0.2,2,10G 0.2/2,0,13.48446739,8.502828486
10G,0.2,4,10G 0.2/4,0,16.65791853,10.97090626
2.5BG,0.2,2,2.5BG 0.2/2,0,13.60222569,12.09254406
2.5BG,0.2,4,2.5BG 0.2/4,0,16.75062972,15.48454885
5BG,0.2,2,5BG 0.2/2,0,13.51602219,16.72806717
5BG,0.2,4,5BG 0.2/4,0,16.56658468,21.96945677
7.5BG,0.2,2,7.5BG 0.2/2,0,13.24656208,19.4150391
7.5BG,0.2,4,7.5BG 0.2/4,0,16.08975707,25.66688444
10BG,0.2,2,10BG 0.2/2,0,12.65073767,22.09363504
10BG,0.2,4,10BG 0.2/4,0,15.27182152,29.37627765
2.5B,0.2,2,2.5B 0.2/2,0,12.01710643,23.81763752
2.5B,0.2,4,2.5B 0.2/4,0,14.28625858,32.11754303
5B,0.2,2,5B 0.2/2,0,11.21306891,25.09737975
5B,0.2,4,5B 0.2/4,0,12.91970817,34.25472036
7.5B,0.2,2,7.5B 0.2/2,0,10.58562835,25.79113684
7.5B,0.2,4,7.5B 0.2/4,0,12.1587081,35.05405029
10B,0.2,2,10B 0.2/2,0,9.731773016,26.62732473
10B,0.2,4,10B 0.2/4,0,11.00606539,36.30435087
10B,0.2,6,10B 0.2/6,0,12.25149481,45.20253703
2.5PB,0.2,2,2.5PB 0.2/2,0,8.742639841,27.18070183
2.5PB,0.2,4,2.5PB 0.2/4,0,8.937127369,37.76731054
2.5PB,0.2,6,2.5PB 0.2/6,0,9.292904814,47.27446387
5PB,0.2,2,5PB 0.2/2,0,7.380044704,27.83287497
5PB,0.2,4,5PB 0.2/4,0,6.546907166,38.21058972
5PB,0.2,6,5PB 0.2/6,0,5.243250954,48.63973808
5PB,0.2,8,5PB 0.2/8,0,3.672971861,58.70871011
5PB,0.2,10,5PB 0.2/10,0,1.24320502,70.76098127
5PB,0.2,12,5PB 0.2/12,0,0,95.07677131
7.5PB,0.2,2,7.5PB 0.2/2,4.865845625,5.381339589,28.14622245
7.5PB,0.2,4,7.5PB 0.2/4,4.490137321,2.766056735,38.01174609
7.5PB,0.2,6,7.5PB 0.2/6,4.338342496,0,47.74749444
7.5PB,0.2,8,7.5PB 0.2/8,4.406103478,0,57.0614606
7.5PB,0.2,10,7.5PB 0.2/10,5.1840814,0,66.57130963
7.5PB,0.2,12,7.5PB 0.2/12,6.6468257,0,78.22277431
7.5PB,0.2,14,7.5PB 0.2/14,7.71957814,0,92.34882768
7.5PB,0.2,16,7.5PB 0.2/16,8.597426261,0,112.5513404
7.5PB,0.2,18,7.5PB 0.2/18,15.25645164,0,155.6840783
7.5PB,0.2,20,7.5PB 0.2/20,0,0,0
10PB,0.2,2,10PB 0.2/2,13.088136,2.860896143,27.92990952
10PB,0.2,4,10PB 0.2/4,16.81921923,0,36.54190815
10PB,0.2,6,10PB 0.2/6,21.21559416,0,44.93452557
10PB,0.2,8,10PB 0.2/8,25.48848926,0,52.69199689
10PB,0.2,10,10PB 0.2/10,29.18451502,0,59.09047711
10PB,0.2,12,10PB 0.2/12,34.2575265,0,67.84645881
10PB,0.2,14,10PB 0.2/14,39.71575048,0,77.56340726
10PB,0.2,16,10PB 0.2/16,46.89846005,0,89.67358077
10PB,0.2,18,10PB 0.2/18,57.99110558,0,109.3457935
10PB,0.2,20,10PB 0.2/20,82.63779746,0,151.3522729
2.5P,0.2,2,2.5P 0.2/2,16.99027724,1.500598223,27.15456829
2.5P,0.2,4,2.5P 0.2/4,22.12593977,0,35.19013883
2.5P,0.2,6,2.5P 0.2/6,27.22097824,0,42.74834725
2.5P,0.2,8,2.5P 0.2/8,31.91030101,0,49.8904038
2.5P,0.2,10,2.5P 0.2/10,36.09727682,0,55.62883613
2.5P,0.2,12,2.5P 0.2/12,40.68027902,0,62.36454555
2.5P,0.2,14,2.5P 0.2/14,46.31598624,0,70.2483633
2.5P,0.2,16,2.5P 0.2/16,52.93703028,0,79.57839113
2.5P,0.2,18,2.5P 0.2/18,62.71425892,0,93.33888033
5P,0.2,2,5P 0.2/2,20.37784882,0.149044427,26.15156774
5P,0.2,4,5P 0.2/4,26.11510111,0,33.59370293
5P,0.2,6,5P 0.2/6,31.1688374,0,39.92114818
5P,0.2,8,5P 0.2/8,36.65764591,0,46.66826616
5P,0.2,10,5P 0.2/10,40.81947535,0,51.73242377
5P,0.2,12,5P 0.2/12,45.74736045,0,57.45834127
5P,0.2,14,5P 0.2/14,51.12283147,0,64.02958921
7.5P,0.2,2,7.5P 0.2/2,21.78583665,0,25.47374475
7.5P,0.2,4,7.5P 0.2/4,27.9461209,0,32.92918153
7.5P,0.2,6,7.5P 0.2/6,32.79568673,0,38.78015994
7.5P,0.2,8,7.5P 0.2/8,38.09031556,0,45.24789339
7.5P,0.2,10,7.5P 0.2/10,42.18330585,0,50.02763727
7.5P,0.2,12,7.5P 0.2/12,47.46666865,0,56.18087907
10P,0.2,2,10P 0.2/2,22.81141517,0,24.67177413
10P,0.2,4,10P 0.2/4,29.04907161,0,31.81908203
10P,0.2,6,10P 0.2/6,34.43204725,0,38.02629475
10P,0.2,8,10P 0.2/8,39.53760108,0,43.84293047
10P,0.2,10,10P 0.2/10,43.56848253,0,48.36134216
2.5RP,0.2,2,2.5RP 0.2/2,24.09197091,0,23.79953098
2.5RP,0.2,4,2.5RP 0.2/4,30.54474121,0,30.6199527
2.5RP,0.2,6,2.5RP 0.2/6,36.1435224,0,36.44807125
2.5RP,0.2,8,2.5RP 0.2/8,40.76007334,0,41.4802287
2.5RP,0.2,10,2.5RP 0.2/10,45.73861298,0,46.54158865
5RP,0.2,2,5RP 0.2/2,25.54382053,0,22.30989967
5RP,0.2,4,5RP 0.2/4,32.46642315,0,28.48315546
5RP,0.2,6,5RP 0.2/6,38.08571661,0,33.70575489
5RP,0.2,8,5RP 0.2/8,43.09515102,0,38.45523789
7.5RP,0.2,2,7.5RP 0.2/2,27.39548516,0,20.14857302
7.5RP,0.2,4,7.5RP 0.2/4,34.62918241,0,25.50908953
7.5RP,0.2,6,7.5RP 0.2/6,40.49318261,0,29.87340675
7.5RP,0.2,8,7.5RP 0.2/8,45.98650961,0,34.0151191
10RP,0.2,2,10RP 0.2/2,28.62792673,0,17.66539671
10RP,0.2,4,10RP 0.2/4,36.43178151,0,22.43331687
10RP,0.2,6,10RP 0.2/6,42.20131603,0,26.08261105
2.5R,0.2,2,2.5R 0.2/2,29.71037012,0,14.12816784
2.5R,0.2,4,2.5R 0.2/4,38.15077434,0,17.796308
2.5R,0.2,6,2.5R 0.2/6,44.22582358,0,20.49664079
5R,0.2,2,5R 0.2/2,30.52485611,0,10.42394575
5R,0.2,4,5R 0.2/4,39.686537,0,13.193425
7.5R,0.2,2,7.5R 0.2/2,30.84145384,0,7.336928647
7.5R,0.2,4,7.5R 0.2/4,40.69721323,0,8.258319473
10R,0.2,2,10R 0.2/2,31.26416521,0,4.437474313
10R,0.2,4,10R 0.2/4,41.36381917,0,3.970244865
2.5YR,0.2,2,2.5YR 0.2/2,31.45802629,0,0.229803622
2.5YR,0.2,4,2.5YR 0.2/4,41.84404968,0,0
5YR,0.2,2,5YR 0.2/2,31.38322643,0,0
5YR,0.2,4,5YR 0.2/4,42.13809421,0,0
7.5YR,0.2,2,7.5YR 0.2/2,30.51582141,0,0
10YR,0.2,2,10YR 0.2/2,27.37671696,1.070611103,0
2.5Y,0.2,2,2.5Y 0.2/2,24.11984316,3.118554488,0
5Y,0.2,2,5Y 0.2/2,19.52512965,5.517831063,0
7.5Y,0.2,2,7.5Y 0.2/2,16.21632844,6.941359949,0
10Y,0.4,2,10Y 0.4/2,16.78970436,15.92718431,0
2.5GY,0.4,2,2.5GY 0.4/2,11.3246744,17.06658138,0
2.5GY,0.4,4,2.5GY 0.4/4,2.096099841,19.80880198,0
5GY,0.4,2,5GY 0.4/2,7.640306983,17.58369997,0.702215221
5GY,0.4,4,5GY 0.4/4,0,21.59740659,0
7.5GY,0.4,2,7.5GY 0.4/2,4.515737102,17.99445211,3.83452665
7.5GY,0.4,4,7.5GY 0.4/4,0,22.6366787,0
10GY,0.4,2,10GY 0.4/2,1.791071385,18.3328655,6.760531985
10GY,0.4,4,10GY 0.4/4,0,23.29953694,0
2.5G,0.4,2,2.5G 0.4/2,0.19014475,18.51510153,8.682609621
