Soil,Moisture,25,150,250,350,450,550,650
Vista (210),Dry,10YR 6/3,10YR 5/3,10YR 4/3,10YR 4/3,10YR 5/8,7.5YR 5/6,7.5YR 5/6
Vista (210),Moist,10YR 3/2,10YR 3/2,10YR 3/2,10YR 2/2,10YR 2/2,7.5YR 3/4,7.5YR 3/4
Musick (1384),Dry,10YR 3/3,10YR 3/3,10YR 2/1,10YR 2/2,10YR 5/6,7.5YR 5/8,7.5YR 6/6
Musick (1384),Moist,10YR 2/1,10YR 2/2,10YR 2/1,10YR 2/1,10YR 2/2,7.5YR 5/6,7.5YR 5/6
Shaver (1737),Dry,10YR 5/2,10YR 4/2,10YR 3/3,10YR 3/3,10YR 5/8,10YR 5/6,7.5YR 6/6
Shaver (1737),Moist,10YR 2/2,10YR 2/2,10YR 2/1,10YR 2/1,10YR 2/1,7.5YR 3/4,7.5YR 4/6
Sirretta (2317),Dry,10YR 5/4,10YR 4/3,10YR 2/2,10YR 3/4,10YR 4/4,7.5YR 6/6,7.5YR 6/6
Sirretta (2317),Moist,10YR 3/2,10YR 2/2,10YR 2/1,10YR 2/2,10YR 2/2,7.5YR 4/6,7.5YR 5/6
Chiquito (2865),Dry,10YR 6/3,10YR 4/2,10YR 3/2,10YR 3/3,10YR 6/3,7.5YR 6/4,10YR 6/6
Chiquito (2865),Moist,10YR 2/2,10YR 2/2,10YR 2/1,10YR 2/1,10YR 2/2,7.5YR 4/4,10YR 6/6
